code,date,age,province,country,s1.1,s1.2,s1.3,s1.4,s1.5,s1.6,s1.7,s1.8,s1.9,s1.10,s2.1,s2.2,s2.3,s2.4,s2.5,s2.6,s2.7,s2.8,s2.9,s2.10,s2.11,s2.12,s2.13,s2.14,s2.15,s2.16,s2.17,s2.18v,s2.18e,s2.19v,s2.19e,s2.20v,s2.20e,translated
s4,06/02/2023,20,Hochiminh city,Vietnam,5,4,5,4,4,3,4,5,5,5,5,5,5,5,5,5,5,4,2,Fulltime student,18-25,1,4,"Nhập môn lập trình, Tiếng Anh hội nhập quốc tế 1, Tiếng Anh hội nhập quốc tế 2, Tin học dự bị",Yes,Yes,5,Tôi thấy lộ trình khi lúc đầu được show ra rất tốt và không cần sửa đổi,,"Figure 2 cho tôi thấy được quan tâm và lắng nghe nhưng nếu lười học thì sẽ không qua môn, nên cần thời gian cho tất cả những gì mình học",,Các lộ trình trên cho biết mức học và được luyện tập lại,,Yes
s5,06/02/2023,18,Hochiminh city,Vietnam,4,4,5,4,4,4,4,4,5,4,4,4,3,5,4,5,5,5,4,Fulltime student,18-25,4,3,"English, IT, Programming",Yes,Yes,4,Liệt kê đầy đủ các bài học,,"Có quan tâm đến lợi ích của mọi người, hỗ trợ cho những người có vấn đề về màu sắc",,"Đầy đủ, chi tiết về những vấn đề mà người dùng cần",,Yes
s6,06/02/2023,19,Hochiminh city,Vietnam,4,4,4,3,3,3,3,4,5,5,4,4,3,4,4,4,4,5,4,Fulltime student,18-25,2,2,"Tiếng Anh hội nhập quốc tế, Nhập môn lập trình",Yes,Yes,3,Tôi nghĩ nó cũng là một ý kiến hay,,Theo tôi nên chỉnh cỡ chữ to lên hơn một tí và thay đổi màu nền tối tối,,ok,,Yes
s10,06/02/2023,19,Hochiminh city,Vietnam,3,3,4,2,2,5,3,3,1,2,4,4,3,5,5,4,3,5,3,Fulltime student,Less than 18,2,4,"Tin học dự bị, Tiếng Anh, Bắn cung",Yes,Yes,3,"Theo tôi, việc làm này rất tốt, giúp hiểu thêm các bài mà mình không biết làm hoặc chưa hiểu",,"Rất tốt, nhưng tôi có thêm một ý kiến. Khi những người không hiểu về một vấn đề thì các thầy cô có thể chỉ lại một cách nhiệt tình",,"Rất tốt, nhưng hãy thêm nhiều bài ví dụ như những bài tương tự mà mình không hiểu",,Yes
s11,06/02/2023,18,Hochiminh city,Vietnam,4,5,4,4,4,3,3,4,5,3,4,4,3,4,4,4,4,5,4,Fulltime student,18-25,2,3,"Nhập môn lập trình, Tin học dự bị, Tiếng Anh hội nhập quốc tế",Yes,Yes,4,Tôi thấy rất dễ hiểu và phù hợp với mình,,Tôi thấy rất dễ hiểu và phù hợp với mình,,Tôi thấy rất dễ hiểu và phù hợp với mình,,Yes
s14,06/02/2023,19,Hochiminh city,Vietnam,5,4,4,3,4,3,3,4,4,3,4,4,3,3,4,4,4,5,5,Fulltime student,18-25,5,3,"Nhập môn lập trình, EII, Tin học dự bị",Yes,Yes,4,Tôi cảm thấy nó khá là hấp dẫn,,Tôi cảm thấy nó khá là hữu ích,,Nó rất là phù hợp với cách học mà tôi đang theo đuổi,,Yes
s17,06/02/2023,19,Hochiminh city,Vietnam,5,5,5,4,4,4,3,4,4,5,4,4,4,3,3,4,4,4,5,Fulltime student,18-25,4,3,"Nhập môn lập trình, Tin học dự bị, Tiếng Anh",Yes,Yes,4,Tôi cảm thấy nó khá là hấp dẫn và hữu ích,,Tôi cảm thấy nó phù hợp với tôi,,Tôi cảm thấy nó khá là thú vị,,Yes
s23,06/02/2023,18,Hochiminh city,Vietnam,5,1,5,5,1,1,5,1,5,5,4,3,5,4,1,4,4,5,3,Fulltime student,18-25,3,4,"Nhập môn lập trình, Tin học dự bị, Tiếng Anh hội nhập quốc tế 1, Tiếng Anh hội nhập quốc tế 2",Yes,Yes,4,"Figure 1, em cảm thấy nó hơi vắn tắt và đơn điệu, khiến nó khó có thể thu hút được sự chú ý của học sinh",,"Figure 2, em cảm thấy rất tuyệt vời",,"Đến với Figure 3, em cảm thấy việc đánh giá khá tốt và hiệu quả hơn hiện tại",,Yes
s25,06/02/2023,33,Hochiminh city,Vietnam,5,4,4,4,4,3,,5,4,2,5,5,5,5,5,5,5,5,5,Fulltime student,Larger than 25,2,3,"Tin học dự bị, Nhập môn lập trình, Anh văn",Yes,Yes,5,"Giao diện trực quan, giúp sinh viên học tập tốt hơn",,"Giúp cho tất cả sinh viên dễ dàng sử dụng, thiết kế rõ ràng",,"Đưa ra thông tin rõ ràng, giúp cho sinh viên hoàn thiện bản thân trong quá trình học tập",,Yes
s26,06/02/2023,19,Hochiminh city,Vietnam,1,1,1,1,3,3,1,1,1,3,2,4,4,4,5,5,4,3,3,Fulltime student,18-25,2,3,"Tin học dự bị, Công nghệ thông tin, Anh văn",Yes,Yes,4,Rất hay và rất mong đợi,,Giúp cho chúng ta có nhiều kiến thức,,Nhưng có thể nào thêm nhiều ngôn ngữ để cho những người khác có thể biết và học được không?,,Yes
s30,21/02/2023,20,Hochiminh city,Vietnam,4,4,3,5,4,5,3,4,5,4,4,4,5,5,4,4,4,5,4,Fulltime student,18-25,4,2,"International Finance, Nhập môn Hệ thống thông tin quản lý",Yes,Yes,4,"Rõ ràng, dễ hiểu, màu sắc không bị chán",,Mong sớm có thêm nhiều ngôn ngữ ngoài tiếng Anh và có trên điện thoại,,,,Yes
s34,21/02/2023,21,Hochiminh city,Vietnam,4,3,4,5,4,5,2,4,4,3,5,4,5,3,4,4,4,5,3,Fulltime student,18-25,1,2,"Luật và đạo đức kinh doanh, Nhập môn Hệ thống thông tin quản lý",Yes,Yes,5,Em thấy nó rất mới mẻ và thú vị,,Rất tuyệt ạ,,"Giao diện bắt mắt, mới, làm em rất hứng thu. Nó cũng rất dễ hiểu, dễ dàng tiếp thu kiến thức",,Yes
s41,21/02/2023,23,Hochiminh city,Vietnam,4,4,5,4,3,5,4,4,5,5,5,5,5,5,5,5,4,4,5,Fulltime student,18-25,3,2,"Software Architechture, Web Front end",Yes,Yes,5,Hình ảnh và kích thước chữ cần to hơn,,Cần thêm một box comment đánh giá vì sao đánh sao như vậy,,Cần thêm biểu đồ để thể hiện mức độ hiểu biết của mình,,Yes
s49,21/02/2023,22,Hochiminh city,Vietnam,2,4,2,4,4,4,5,4,5,5,4,5,5,5,5,5,5,4,5,Fulltime student,18-25,3,1,Software Architechture,Yes,Yes,5,Chức năng và thiết kế nhìn khá dễ hiểu,,Nên bổ sung thêm âm thanh và thiết kế đẹp hơn,,Chức năng và thiết kế dễ hiểu và cần thiết,,Yes
s71,06/02/2023,21,Hochiminh city,Vietnam,3,4,4,3,4,4,2,3,3,4,4,3,4,5,4,4,4,3,4,Fulltime student,18-25,3,5,"Tiếng Anh hội nhập quốc tế 1, Tin học dự bị, tin học ứng dụng, Triết học Mác Lênin, Kinh tế vi mô",Yes,Yes,3,"Hệ thống hiển thị rõ ràng nội dung, dễ dàng tiếp cận và sắp xếp thời gian để hoàn thành mục tiêu",,Ý kiến cá nhân nên được thực hiện và thay đổi ngay lập tức trong quá trình học chứ không phải khóa học sau vì ý kiến cá nhân được đưa ra để tiện lợi hóa nhu cầu cá nhân đó,,"Có thể theo dõi và nắm được trình độ bản thân so với tiêu chuẩn đầu ra, có thể cùng lúc cân bằng giữa trình độ và điểm số một cách tối ưu hóa. Tính năng này rất thực tế và cần thiết",,Yes
s72,06/02/2023,19,Hochiminh city,Vietnam,4,3,4,4,4,4,3,4,5,5,4,4,4,5,4,4,5,5,4,Fulltime student,18-25,3,5,"Tiếng Anh hội nhập quốc tế 1, Kinh tế vi mô, Tin học ứng dụng khối ngành kinh tế, Tin học dự bị, Triết học Mác Lênin, ",Yes,Yes,4,"Hệ thống dễ xài, tốt, giao diện đẹp",,"Hệ thống dễ xài, tốt, giao diện đẹp",,"Dễ xài, tốt",,Yes
s73,06/02/2023,19,Hochiminh city,Vietnam,4,3,5,4,4,4,4,4,5,5,4,3,4,4,4,5,3,4,3,Fulltime student,18-25,2,5,"Phương pháp học đại học, Tư duy phản biện, tin học ứng dụng khối ngành kinh tế, Marketing căn bản, Pháp luật đại cương",Yes,Yes,4,Mình thấy giao diện cũng thân thiện và ưa nhìn,,Mình thấy khá lười khi học xong phải để lại ôn tập tổng kết,,Mình thấy dễ để biết được trình độ của bản thân sau khi hoàn thành,,Yes
s74,06/02/2023,18,Hochiminh city,Vietnam,4,3,4,4,3,2,5,3,5,5,4,4,4,3,5,4,4,3,3,Fulltime student,18-25,4,5,"EII, Tin học dự bị, Kinh tế vi mô, Triết học Mác Leenin, Tin học ứng dụng khối ngành kinh tế",Yes,Yes,4,"Giao diện dễ nhìn, dễ dàng thao tác sử dụng",,Giao diện dễ nhìn,,Hệ thống cung cấp đầy đủ các thông tin cần thiết cho người sử dụng,,Yes
s77,06/02/2023,19,Hochiminh city,Vietnam,3,5,5,4,3,4,4,4,5,4,4,3,4,4,4,4,4,4,4,Fulltime student,18-25,3,5,"Tiếng Anh hội nhập quốc tế, Tin học dự bị, Tin học ứng dụng khối ngành kinh tế, Triết học Mác Lênin, Kinh tế vi mô",Yes,Yes,4,"Tôi thấy phần này khá mới mẻ, dễ nhìn và khá dễ hiểu",,Tôi không có nhận xét và đề xuất,,Tôi không có nhận xét và đề xuất,,Yes
s80,06/02/2023,19,Hochiminh city,Vietnam,4,4,5,4,3,5,4,4,5,4,3,5,4,5,4,4,5,5,3,Fulltime student,18-25,3,6,"E II 1, E II 2, Marxist - Leninist Philosophy, Micro Economics, Information Technology in Business, Microsoft Office",Yes,Yes,4,Tôi thấy Figure 1 giao diện đã phù hợp,,Tôi thấy nó phù hợp,,Nó phù hợp với tôi,,Yes
s88,06/02/2023,18,Hochiminh city,Vietnam,4,5,5,4,4,3,5,3,3,4,5,4,5,5,5,4,5,5,5,Fulltime student,18-25,5,4,"Introduction to Psychology, History of Psychology, Tin học dự bị, Triết học Mác Lênin",Yes,Yes,5,Clean và dễ dùng nhưng em suggest thầy nên thêm một dấu chấm hỏi nhỏ ở trên góc để nếu người dùng không hiểu thì học có thể nhanh chóng nháy hoặc trỏ chuột vào dấu đó và tìm thông tin họ cần ngay lập tức,,"Hệ thống revision khá thú vị nhưng em nghĩ thầy nên specify rõ từng mức độ số sao tương ứng (ví dụ 1 sao là unsatified, 5 sao là satisfied…)",,"Phần này em thấy ok tại nếu một người lúc đầu ví dụ như chỉ có 2%, sau một lúc học và làm quay lại thấy tăng lên 3%, thấy được progress của mình sẽ giúp tạo động lục hơn. Nếu có góp ý thì em nghĩ nên có thêm một cái reward (tượng trưng thôi) hoặc là một lời động viên, tạo động lực gì đó mỗi lần người dùng check và % ILO tăng",,Yes